"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"cobalt","cobalt","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.5.5",NA,"R (>= 3.3.0)","stats, utils, grid, grDevices, ggplot2 (>= 3.4.1), gtable (>=
0.3.0), gridExtra (>= 2.3), chk (>= 0.8.1), rlang (>= 0.4.0),
crayon, backports (>= 1.1.9)",NA,"MatchIt (>= 4.0.0), WeightIt (>= 1.0.0), twang (>= 1.6),
twangContinuous, Matching, optmatch, ebal, CBPS (>= 0.17),
designmatch, optweight, mice (>= 3.8.0), MatchThem (>= 0.9.3),
cem (>= 1.1.30), sbw (>= 1.1.5), gbm (>= 2.1.7), brglm2 (>=
0.9), caret, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2-20","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"coefplot","coefplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.8",NA,"ggplot2 (>= 2.0.0)","plyr, reshape2, useful, stats, dplyr (>= 0.6.0), dygraphs,
tibble, magrittr, purrr, plotly",NA,"testthat (>= 2.0.0), covr, glmnet, maxLik, xgboost,
workflows, parsnip, knitr, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"conflicted","conflicted","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"conquer","conquer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.3",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.94",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"countrycode","countrycode","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"R (>= 2.10)",NA,NA,"altdoc, eurostat, testthat, tibble, ISOcodes, utf8",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.3",NA,"R (>= 3.5.0)","ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"cpp11","cpp11","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.0",NA,"R (>= 3.6.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"credentials","credentials","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"crsmeta","crsmeta","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,"R (>= 3.5.0)","methods",NA,"testthat (>= 2.1.0), spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.2.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.16.0",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"DataExplorer","DataExplorer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.3",NA,"R (>= 3.6)","data.table (>= 1.13.4), reshape2 (>= 1.4.3), scales (>=
1.1.0), ggplot2, gridExtra, rmarkdown (>= 2.5), networkD3 (>=
0.4), stats, utils, tools, parallel",NA,"testthat, covr, knitr, jsonlite, nycflights13",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dataReporter","dataReporter","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.2",NA,"R (>= 3.5.0)","ggplot2, gridExtra, haven, htmltools, magrittr, methods,
pander, rmarkdown (>= 1.10), robustbase (>= 0.93-2), stringi,
whoami",NA,"knitr, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"datawizard","datawizard","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.12.3",NA,"R (>= 3.6)","insight (>= 0.20.3), stats, utils",NA,"bayestestR, boot, brms, curl, data.table, dplyr (>= 1.1),
effectsize, emmeans, gamm4, ggplot2 (>= 3.5.0), gt, haven,
httr, knitr, lme4, mediation, modelbased, parameters (>=
0.21.7), poorman (>= 0.2.7), psych, readxl, readr, rio,
rmarkdown, rstanarm, see, testthat (>= 3.2.1), tibble, tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1-3",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"Deriv","Deriv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
